title,country,genres,language,writer_count,title_adaption,censor_rating,release_date,runtime,dvd_release_date,users_votes,comments,likes,overall_views,dislikes,ratings_imdb,ratings_tomatoes,ratings_metacritic,special_award,awards_win,awards_nomination,revenue_category
Freddy vs. Jason ,USA,"Action, Horror",English,4,TRUE,R,15/08/2003,97 min,13/01/2004,"1,03,174",537,1876,795419,65,5.8/10,41%,37/100,0,2,10,High
Uptown Girls ,USA,"Comedy, Drama, Romance",English,4,TRUE,PG-13,15/08/2003,92 min,06/01/2004,"33,071",,7,6519,0,6.1/10,13%,33/100,0,0,1,High
Strayed ,"France, UK","Drama, Romance, War",French,5,TRUE,Unrated,20/08/2003,95 min,23/11/2004,"2,926",2,110,186950,15,6.6/10,74%,70/100,0,1,5,Low
Marci X ,"Germany, USA","Comedy, Music",English,1,FALSE,R,22/08/2003,84 min,20/01/2004,"4,767",,,74010,,2.8/10,8%,20/100,0,0,4,Low
"Medallion, The ","Hong Kong, USA","Action, Comedy, Fantasy",English,6,TRUE,PG-13,22/08/2003,88 min,23/12/2003,"36,344",53,464,427840,30,5.2/10,17%,38/100,0,0,2,High
Camp ,USA,"Comedy, Musical, Drama","English, Spanish",1,FALSE,PG-13,29/08/2003,114 min,24/02/2004,"5,406",19,343,241041,27,6.3/10,64%,55/100,0,0,6,Low
Step Into Liquid ,USA,"Documentary, Sport",English,1,FALSE,PG,29/08/2003,88 min,20/04/2004,"2,477",7,54,23337,5,7.5/10,81%,72/100,0,0,2,Low
"Order, The ","USA, Germany","Horror, Mystery, Thriller","English, Syriac, Aramaic, Italian, Latin",1,FALSE,R,05/09/2003,102 min,30/12/2003,"16,262",29,158,213271,11,5.2/10,8%,21/100,0,0,0,High
Dirty Pretty Things ,UK,"Crime, Drama, Thriller","English, Somali, Spanish, French",1,FALSE,R,05/09/2003,97 min,23/03/2004,"38,700",,,,,7.4/10,94%,78/100,1,17,26,High
"Blind Swordsman: Zatoichi, The ",Japan,"Action, Comedy, Crime, Drama, Thriller",Japanese,2,TRUE,R,06/09/2003,116 min,09/11/2004,"44,838",282,3835,1557811,233,7.6/10,87%,75/100,0,21,10,Low
Matchstick Men ,"USA, UK","Comedy, Crime, Drama, Thriller",English,3,TRUE,PG-13,12/09/2003,116 min,01/06/2004,"1,17,827",11,137,106961,10,7.3/10,82%,61/100,0,0,5,High
American Splendor ,USA,"Biography, Comedy, Drama",English,4,TRUE,R,12/09/2003,101 min,03/02/2004,"45,614",2,32,24745,1,7.5/10,94%,90/100,1,31,49,High
Since Otar Left ,"France, Belgium, Georgia",Drama,"Georgian, French, Russian",6,FALSE,UNRATED,17/09/2003,103 min,25/01/2005,"2,392",9,40,10927,0,7.6/10,96%,85/100,0,12,6,Low
Thirteen ,"USA, UK",Drama,"English, Spanish, Portuguese",2,FALSE,R,19/09/2003,100 min,27/01/2004,"75,724",1449,3695,2274514,271,6.8/10,81%,70/100,1,14,48,Low
Secondhand Lions ,USA,"Comedy, Drama, Family",English,1,FALSE,PG,19/09/2003,109 min,03/02/2004,"48,550",82,1391,360506,51,7.6/10,60%,52/100,0,1,6,High
Underworld ,"USA, UK, Germany, Hungary","Action, Fantasy, Thriller",English,4,TRUE,R,19/09/2003,121 min,06/01/2004,"2,39,461",9,147,253388,17,7.0/10,31%,42/100,0,1,9,High
Owning Mahowny ,"Canada, UK","Crime, Drama, Thriller",English,2,TRUE,R,25/09/2003,104 min,14/10/2003,"11,859",0,11,7597,0,7.1/10,79%,70/100,0,3,5,Low
Japanese Story ,Australia,"Drama, Romance","English, Japanese",1,FALSE,R,25/09/2003,110 min,11/05/2004,"6,014",,,,,6.7/10,68%,73/100,0,20,13,Low
Under the Tuscan Sun ,"USA, Italy","Comedy, Drama, Romance","English, Italian, Polish, French, Spanish, German",3,TRUE,PG-13,26/09/2003,113 min,03/02/2004,"43,239",2,20,29304,2,6.8/10,61%,52/100,1,0,4,High
"Rundown, The ",USA,"Action, Adventure, Comedy, Thriller","English, Portuguese",3,TRUE,PG-13,26/09/2003,104 min,23/03/2004,"95,763",96,603,726554,41,6.7/10,69%,59/100,0,2,3,High
Young Adam ,"UK, France","Crime, Drama",English,2,TRUE,R,26/09/2003,98 min,14/09/2004,"12,634",7,370,672502,76,6.4/10,63%,67/100,0,7,17,Low
Luther ,"Germany, USA","Biography, Drama, History","English, Latin",2,FALSE,PG-13,26/09/2003,123 min,31/08/2004,"14,125",,,,,6.6/10,45%,47/100,0,4,1,High
Bright Young Things ,UK,"Comedy, Drama, War",English,2,TRUE,R,03/10/2003,102 min,08/02/2005,"4,778",25,238,114489,10,6.6/10,65%,64/100,0,0,10,Low
Spellbound ,USA,"Documentary, Comedy, Thriller","English, Spanish",,FALSE,G,10/10/2003,97 min,20/01/2004,"11,577",,,,,7.6/10,97%,80/100,1,17,17,Low
Good Boy! ,USA,"Comedy, Drama, Family, Fantasy, Sci-Fi",English,4,TRUE,PG,10/10/2003,87 min,02/03/2004,"3,805",108,452,114296,22,5.1/10,44%,49/100,0,0,3,High
Intolerable Cruelty ,USA,"Comedy, Crime, Romance","English, French",7,TRUE,PG-13,10/10/2003,100 min,10/02/2004,"85,348",,,158124,,6.3/10,75%,71/100,0,0,3,High
"House of the Dead, The ","Germany, Canada, USA","Action, Adventure, Horror",English,4,TRUE,R,10/10/2003,90 min,27/01/2004,"34,704",230,321,421977,362,2.0/10,3%,15/100,0,2,0,High
"Texas Chainsaw Massacre, The ",USA,Horror,English,3,TRUE,R,17/10/2003,98 min,30/03/2004,"1,23,148",110,1723,692873,118,6.2/10,37%,38/100,0,4,16,High
Party Monster ,"USA, Netherlands","Biography, Crime, Drama, Thriller",English,3,TRUE,R,17/10/2003,98 min,10/02/2004,"14,111",451,2357,1243476,148,6.3/10,29%,36/100,0,0,4,Low
Runaway Jury ,USA,"Crime, Drama, Thriller","English, French, Italian",5,TRUE,PG-13,17/10/2003,127 min,17/02/2004,"85,660",58,179,294067,20,7.1/10,73%,61/100,0,0,3,High
Radio ,USA,"Biography, Drama, Sport",English,1,FALSE,PG,24/10/2003,109 min,27/01/2004,"35,956",159,1224,355936,57,6.9/10,36%,38/100,0,3,5,High
In the Cut ,"UK, Australia, USA","Mystery, Thriller",English,4,TRUE,R,31/10/2003,119 min,10/02/2004,"20,484",35,128,439619,32,5.3/10,33%,46/100,0,1,2,Low
Sylvia ,UK,"Biography, Drama, Romance",English,1,TRUE,R,31/10/2003,100 min,10/02/2004,"9,842",50,448,236733,20,6.3/10,37%,56/100,0,1,0,Low
Elf ,USA,"Comedy, Family, Fantasy, Romance",English,1,FALSE,PG,07/11/2003,97 min,16/11/2004,"1,91,160",2,43,84964,11,6.9/10,83%,64/100,0,2,7,High
Master and Commander: The Far Side of the World ,USA,"Action, Adventure, Drama, History, War","English, French, Portuguese",3,TRUE,PG-13,14/11/2003,138 min,20/04/2004,"1,89,658",,25,41783,2,7.4/10,85%,81/100,1,21,90,High
"Singing Detective, The ",USA,"Comedy, Crime, Musical, Mystery",English,2,TRUE,R,14/11/2003,109 min,23/03/2004,"7,755",,,,,5.6/10,39%,45/100,0,1,3,Low
Elephant ,USA,"Crime, Drama, Thriller","English, German",1,FALSE,R,14/11/2003,81 min,04/05/2004,"80,663",696,3165,1353227,134,7.2/10,73%,70/100,0,8,11,Low
Control ,Hungary,"Comedy, Crime, Drama, Romance, Thriller",Hungarian,2,FALSE,R,20/11/2003,105 min,30/08/2005,"22,667",5,53,33385,1,7.7/10,82%,72/100,0,19,5,Low
Gothika ,"USA, France, Canada, Spain","Horror, Mystery, Thriller",English,1,FALSE,R,21/11/2003,98 min,23/03/2004,"1,00,240",221,913,834861,44,5.8/10,14%,38/100,0,3,7,High
Timeline ,USA,"Action, Adventure, Sci-Fi","English, French",3,TRUE,PG-13,26/11/2003,116 min,13/04/2004,"57,463",69,236,375835,23,5.6/10,11%,28/100,0,0,0,High
Shattered Glass ,"USA, Canada","Drama, History",English,2,FALSE,PG-13,26/11/2003,94 min,23/03/2004,"31,459",114,557,162309,15,7.2/10,91%,73/100,1,11,27,Low
Kal Ho Naa Ho ,India,"Comedy, Drama, Romance","Hindi, Urdu, Gujarati, Punjabi",3,TRUE,Not Rated,28/11/2003,186 min,18/05/2004,"57,361",324,6912,1458707,275,8.0/10,70%,54/100,0,32,39,Low
Saraband ,"Sweden, Denmark, Norway, Italy, Finland, Germany, Austria","Drama, Music","Swedish, English, German",1,FALSE,R,01/12/2003,107 min,10/01/2006,"6,426",10,75,59890,16,7.7/10,91%,80/100,0,2,2,Low
"Last Samurai, The ","USA, New Zealand, Japan","Action, Drama, War","English, Japanese",4,TRUE,R,05/12/2003,154 min,04/05/2004,"3,70,619",9,53,48858,2,7.7/10,66%,55/100,1,21,62,High
Honey ,USA,"Drama, Music, Romance",English,2,FALSE,PG-13,05/12/2003,94 min,23/03/2004,"40,996",156,4179,1657881,152,5.3/10,21%,37/100,0,0,8,High
Something's Gotta Give ,USA,"Comedy, Drama, Romance","English, French",1,FALSE,PG-13,12/12/2003,128 min,30/03/2004,"1,03,581",101,1246,579781,38,6.7/10,72%,66/100,1,7,12,High
Mona Lisa Smile ,USA,Drama,"English, Italian",2,FALSE,PG-13,19/12/2003,117 min,09/03/2004,"71,992",0,38,30781,1,6.5/10,34%,45/100,1,0,5,High
"Young Black Stallion, The ",USA,"Adventure, Family, Drama",English,4,TRUE,G,25/12/2003,50 min,21/12/2004,960,,,,,5.7/10,45%,51/100,0,0,1,High
Paycheck ,"USA, Canada","Action, Crime, Drama, Mystery, Sci-Fi, Thriller",English,2,TRUE,PG-13,25/12/2003,119 min,18/05/2004,"97,983",67,269,378873,29,6.3/10,27%,43/100,0,3,2,High
Cheaper by the Dozen ,USA,"Comedy, Family",English,6,TRUE,PG,25/12/2003,98 min,06/04/2004,"86,813",161,1037,769672,56,5.9/10,24%,46/100,0,2,7,High
Peter Pan ,"UK, Australia, USA, New Zealand","Adventure, Family, Fantasy, Romance","English, North American Indian",3,TRUE,PG,25/12/2003,113 min,04/05/2004,"61,661",,,,,6.9/10,76%,64/100,0,3,13,High
Calendar Girls ,"UK, USA","Comedy, Drama",English,2,FALSE,PG-13,01/01/2004,108 min,04/05/2004,"21,805",13,215,211718,26,6.9/10,74%,60/100,1,2,14,High
Big Fish ,USA,"Adventure, Drama, Fantasy, Romance","English, Cantonese",2,TRUE,PG-13,09/01/2004,125 min,27/04/2004,"3,89,493",0,,2623361,,8.0/10,75%,58/100,1,0,68,High
21 Grams ,USA,"Crime, Drama, Thriller",English,1,FALSE,R,16/01/2004,124 min,16/03/2004,"2,12,850",21,696,429910,41,7.7/10,80%,70/100,1,30,76,High
Teacher's Pet ,USA,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Sci-Fi",English,5,TRUE,PG,16/01/2004,73 min,15/06/2004,"1,432",34,204,51574,14,5.8/10,76%,74/100,0,0,2,High
The Butterfly Effect ,"USA, Canada","Drama, Sci-Fi, Thriller",English,2,FALSE,R,23/01/2004,113 min,20/07/2007,"4,21,779",1507,8013,3133655,244,7.7/10,33%,30/100,0,1,8,High
Win a Date with Tad Hamilton! ,USA,"Comedy, Romance",English,1,FALSE,PG-13,23/01/2004,95 min,20/04/2004,"25,284",,,1250239,,5.6/10,53%,52/100,0,0,8,High
"Big Bounce, The ",USA,"Comedy, Crime",English,2,TRUE,PG-13,30/01/2004,88 min,20/07/2004,"17,093",,,,,4.9/10,16%,42/100,0,0,0,High
Girl with a Pearl Earring ,"UK, Luxembourg","Biography, Drama, Romance",English,2,TRUE,PG-13,30/01/2004,100 min,04/05/2004,"68,056",0,12,21686,2,6.9/10,72%,72/100,1,17,41,High
Miracle ,"Canada, USA","Biography, Drama, History, Sport",English,1,FALSE,PG,06/02/2004,135 min,25/05/2004,"43,233",52,278,351081,46,7.5/10,80%,68/100,0,2,4,High
In America ,"Ireland, UK, USA",Drama,"English, Spanish, Irish",3,FALSE,PG-13,06/02/2004,105 min,11/05/2004,"39,026",84,415,352481,18,7.8/10,89%,76/100,1,27,61,High
50 First Dates ,USA,"Comedy, Drama, Romance","English, Hawaiian, Mandarin, None",1,FALSE,PG-13,13/02/2004,99 min,15/06/2004,"3,03,772",710,5282,2924945,178,6.8/10,45%,48/100,0,6,10,High
Highwaymen ,"USA, Canada","Action, Crime, Horror, Thriller",English,2,FALSE,R,19/02/2004,80 min,24/08/2004,"7,989",54,362,272621,25,5.7/10,13%,49/100,0,0,2,Low
Confessions of a Teenage Drama Queen ,"Germany, USA","Comedy, Family, Music, Romance",English,2,TRUE,PG,20/02/2004,89 min,20/07/2004,"25,902",6,117,96808,4,4.6/10,14%,33/100,0,1,0,High
"Passion of the Christ, The ",USA,Drama,"Aramaic, Latin, Hebrew",2,TRUE,R,25/02/2004,127 min,31/08/2004,"2,01,532",2028,8550,2232501,418,7.2/10,49%,47/100,1,28,21,High
Twisted ,"Germany, USA","Crime, Drama, Mystery, Thriller","English, Italian, Spanish",1,FALSE,R,27/02/2004,97 min,31/08/2004,"19,106",,,277923,,5.3/10,1%,26/100,0,1,0,High
Dirty Dancing: Havana Nights ,USA,"Drama, Music, Romance","English, Spanish",4,TRUE,PG-13,27/02/2004,86 min,20/07/2004,"25,086",473,2973,2585563,185,6.0/10,23%,39/100,0,0,1,High
Stateside ,"Germany, USA","Drama, Music, Romance",English,1,FALSE,R,27/02/2004,97 min,12/10/2004,"1,754",,,,,6.0/10,24%,35/100,0,1,0,Low
Club Dread ,"USA, Mexico","Comedy, Horror, Mystery, Thriller",English,5,FALSE,R,27/02/2004,104 min,25/05/2004,"26,820",21,99,119191,12,5.7/10,29%,45/100,0,0,0,Low
Red Lights ,France,"Crime, Drama, Mystery, Thriller","French, Serbo-Croatian, English",4,TRUE,Unrated,03/03/2004,105 min,22/03/2005,"2,462",0,2,1102,0,6.7/10,83%,74/100,0,0,2,Low
"Concert for George, The ","UK, USA","Documentary, Music",English,,FALSE,PG-13,03/03/2004,146 min,28/11/2003,"1,740",,,,,8.6/10,95%,82/100,0,2,0,Low
Pumpkin ,USA,"Comedy, Drama, Romance, Sport",English,1,FALSE,R,12/03/2004,113 min,05/11/2002,"8,047",,522,201064,19,6.2/10,36%,46/100,0,0,3,Low
Spartan ,"Germany, USA","Action, Crime, Drama, Mystery, Thriller","English, Russian, Swedish",1,FALSE,R,12/03/2004,106 min,15/06/2004,"28,287",2,26,93959,7,6.6/10,65%,60/100,0,0,0,Low
Agent Cody Banks 2: Destination London ,"USA, UK","Action, Adventure, Comedy, Family, Romance, Sci-Fi",English,5,TRUE,PG,12/03/2004,100 min,13/07/2004,"13,039",3,35,13577,1,4.5/10,14%,32/100,0,0,0,High
Dawn of the Dead ,"USA, Canada, Japan, France",Horror,English,2,TRUE,R,19/03/2004,101 min,28/12/2004,"2,19,831",2468,3585,2820403,247,7.3/10,75%,59/100,0,1,17,High
Never Die Alone ,USA,"Action, Crime, Drama, Thriller",English,2,TRUE,R,26/03/2004,88 min,13/07/2004,"5,225",120,518,473103,35,5.7/10,26%,38/100,0,0,1,Low
Scooby-Doo 2: Monsters Unleashed ,"USA, Canada","Adventure, Comedy, Family, Fantasy, Horror, Mystery, Sci-Fi",English,3,TRUE,PG,26/03/2004,93 min,14/09/2004,"43,247",,800,648723,102,5.0/10,22%,34/100,0,1,4,High
Walking Tall ,USA,"Action, Crime",English,5,TRUE,PG-13,02/04/2004,86 min,28/09/2004,"65,785",38,912,554149,44,6.3/10,26%,44/100,0,0,2,High
Hellboy ,USA,"Action, Fantasy, Horror, Sci-Fi","English, Russian",4,TRUE,PG-13,02/04/2004,122 min,27/07/2004,"2,88,468",15,146,100692,12,6.9/10,81%,72/100,0,3,23,High
Home on the Range ,USA,"Animation, Adventure, Comedy, Family, Music, Western","English, Mandarin",17,TRUE,PG,02/04/2004,76 min,14/09/2004,"17,735",216,458,569971,81,5.4/10,53%,50/100,0,0,5,High
Ella Enchanted ,"USA, Ireland, UK","Comedy, Family, Fantasy, Romance",English,6,TRUE,PG,09/04/2004,96 min,24/08/2004,"57,353",54,1003,509575,82,6.3/10,50%,53/100,0,0,1,High
"Punisher, The ","USA, Germany","Action, Crime, Drama, Thriller",English,2,FALSE,R,16/04/2004,124 min,07/09/2004,"1,41,889",49,196,156513,10,6.5/10,29%,33/100,0,1,5,High
Schultze Gets the Blues ,Germany,"Comedy, Drama, Music","German, English, French",1,FALSE,PG,22/04/2004,114 min,30/08/2005,"3,501",,,7230,,7.0/10,71%,67/100,0,11,5,Low
Dogville ,"Denmark, Netherlands, Sweden, Germany, UK, France, Finland, Norway, Italy","Crime, Drama",English,1,FALSE,R,23/04/2004,178 min,24/08/2004,"1,25,909",75,989,532195,107,8.0/10,70%,60/100,0,20,31,Low
Festival Express ,"UK, Netherlands","Documentary, History, Music",English,,FALSE,R,29/04/2004,90 min,02/11/2004,"2,041",3,18,4164,0,7.6/10,96%,85/100,0,1,2,Low
Laws of Attraction ,"Ireland, UK, Germany","Comedy, Romance",English,3,TRUE,PG-13,30/04/2004,90 min,24/08/2004,"20,848",29,643,214289,20,5.9/10,18%,38/100,0,0,2,High
Envy ,USA,Comedy,English,1,FALSE,PG-13,30/04/2004,99 min,28/09/2004,"28,647",43,308,213482,36,4.8/10,8%,31/100,0,0,3,High
"Holy Girl, The ","Argentina, Italy, Netherlands, Spain",Drama,Spanish,2,FALSE,R,06/05/2004,106 min,06/09/2005,"3,025",11,30,76483,8,6.7/10,77%,75/100,0,4,8,Low
Godzilla ,Japan,"Drama, Horror, Sci-Fi, Thriller",Japanese,3,TRUE,Not Rated,07/05/2004,96 min,28/07/2006,"25,408",898,3436,1052126,172,7.6/10,93%,78/100,0,2,2,Low
"Good bye, Lenin! ",Germany,"Comedy, Drama, Romance","German, English, Russian",5,TRUE,R,14/05/2004,121 min,10/08/2004,"1,28,955",112,1311,604501,30,7.7/10,90%,68/100,1,33,19,Low
Breakin' All the Rules ,USA,"Comedy, Romance",English,1,FALSE,PG-13,14/05/2004,85 min,12/10/2004,"5,594",0,,232205,,5.6/10,31%,46/100,0,1,5,High
Troy ,"USA, Malta, UK","Drama, History",English,2,TRUE,R,14/05/2004,163 min,04/01/2005,"4,51,585",91,633,720842,37,7.2/10,54%,56/100,1,4,21,High
Bon Voyage ,France,"Comedy, Drama, Mystery, Romance, Thriller, War","French, German, English, Italian",6,FALSE,PG-13,21/05/2004,114 min,17/08/2004,"4,564",0,32,19648,2,6.9/10,76%,68/100,0,6,8,Low
"Spring, Summer, Fall, Winter... and Spring ","South Korea, Germany","Drama, Romance",Korean,1,FALSE,R,28/05/2004,103 min,07/09/2004,"70,825",4,146,87574,4,8.1/10,94%,85/100,0,14,8,Low
Raising Helen ,USA,"Comedy, Drama, Romance",English,4,TRUE,PG-13,28/05/2004,119 min,12/10/2004,"33,949",68,1321,1165237,44,6.0/10,25%,38/100,0,0,1,High
"Corporation, The ",Canada,"Documentary, History","English, Spanish",10,TRUE,Not Rated,04/06/2004,145 min,05/04/2005,"19,582",0,54,13811,2,8.1/10,90%,73/100,0,12,1,Low
Harry Potter and the Prisoner of Azkaban ,"UK, USA","Adventure, Family, Fantasy, Mystery",English,2,TRUE,PG,04/06/2004,142 min,22/11/2004,"4,88,534",612,5764,1855320,159,7.9/10,90%,82/100,1,14,45,High
Garfield: The Movie ,USA,"Animation, Comedy, Family, Fantasy",English,3,FALSE,PG,11/06/2004,80 min,19/10/2004,"71,741",57,437,493385,89,5.0/10,15%,27/100,0,1,1,High
"Chronicles of Riddick, The ",USA,"Action, Adventure, Sci-Fi, Thriller",English,3,TRUE,R,11/06/2004,119 min,16/11/2004,"2,04,047",538,1679,1949401,81,6.7/10,29%,38/100,0,0,5,High
Dodgeball: A True Underdog Story ,"USA, Germany","Comedy, Sport","English, German",1,FALSE,PG-13,18/06/2004,92 min,07/12/2004,"2,13,544",36,857,559132,63,6.7/10,70%,55/100,0,2,9,High
Control Room ,USA,Documentary,"Arabic, English",2,FALSE,,18/06/2004,84 min,26/10/2004,"4,914",1,12,9088,0,7.8/10,96%,79/100,0,9,10,Low
"Terminal, The ",USA,"Comedy, Drama, Romance","English, Bulgarian, Spanish, Russian, Mandarin, German, French",4,TRUE,PG-13,18/06/2004,128 min,23/11/2004,"3,66,411",0,15,22006,2,7.3/10,60%,55/100,0,5,4,High
White Chicks ,USA,"Comedy, Crime",English,9,TRUE,PG-13,23/06/2004,109 min,26/10/2004,"1,18,051",442,2010,1421092,107,5.6/10,15%,41/100,0,3,13,High
"Notebook, The ",USA,"Drama, Romance",English,3,TRUE,PG-13,25/06/2004,123 min,08/02/2005,"4,74,132",1201,16290,5403423,429,7.9/10,53%,53/100,0,12,10,High
Two Brothers ,"France, UK","Adventure, Drama, Family","English, Thai, French",4,FALSE,PG,25/06/2004,109 min,21/12/2004,"13,554",183,1665,439114,58,7.1/10,78%,63/100,0,2,2,High
Spider-Man 2 ,USA,"Action, Adventure, Sci-Fi","English, Russian, Chinese",6,TRUE,PG-13,30/06/2004,127 min,30/11/2004,"5,00,658",1,6,6955,0,7.3/10,93%,83/100,1,23,59,High
Outfoxed: Rupert Murdoch's War on Journalism ,USA,Documentary,English,,FALSE,Unrated,13/07/2004,78 min,13/07/2004,"6,016",,,,,7.6/10,85%,58/100,0,0,0,Low
"Story of the Weeping Camel, The ","Germany, Mongolia","Documentary, Drama, Family",Mongolian,3,FALSE,PG,16/07/2004,93 min,25/01/2005,"5,634",6,89,40685,5,7.5/10,94%,81/100,1,10,8,Low
Touch of Pink ,"Canada, UK","Drama, Comedy, Romance",English,2,TRUE,R,16/07/2004,91 min,11/01/2005,"3,826",,,,,6.6/10,36%,46/100,0,0,4,Low
"Clearing, The ","Germany, USA, UK","Drama, Mystery, Thriller",English,3,TRUE,R,16/07/2004,95 min,09/11/2004,"12,786",22,96,108172,16,5.9/10,43%,60/100,0,0,1,High
"Bourne Supremacy, The ","USA, Germany","Action, Mystery, Thriller","English, Russian, German, Italian",2,TRUE,PG-13,23/07/2004,108 min,07/12/2004,"4,07,686",1,11,17955,1,7.7/10,81%,73/100,0,5,21,High
Before Sunset ,"USA, France","Drama, Romance","English, French",7,TRUE,R,30/07/2004,80 min,09/11/2004,"2,08,622",204,2850,1548188,127,8.1/10,95%,90/100,1,9,30,High
She Hate Me ,USA,"Comedy, Drama","English, German, Spanish",3,TRUE,R,30/07/2004,138 min,01/02/2005,"6,915",69,391,357285,41,5.3/10,19%,28/100,0,1,7,Low
"Village, The ",USA,"Drama, Mystery, Thriller",English,1,FALSE,PG-13,30/07/2004,108 min,11/01/2005,"2,27,703",3,74,41298,5,6.5/10,44%,44/100,1,4,21,High
"Manchurian Candidate, The ",USA,"Drama, Mystery, Sci-Fi, Thriller",English,4,TRUE,R,30/07/2004,129 min,21/12/2004,"97,383",197,1054,484569,42,6.6/10,80%,76/100,1,1,11,High
Thunderbirds ,"UK, France, USA","Action, Adventure, Comedy, Family, Sci-Fi",English,6,TRUE,PG,30/07/2004,95 min,21/01/2003,"12,428",32,78,49727,9,4.3/10,19%,36/100,0,1,1,High
Lightning in a Bottle ,USA,"Documentary, Music",English,,FALSE,PG-13,05/08/2004,103 min,08/03/2005,584,66,940,106975,18,7.6/10,87%,78/100,0,1,2,Low
"Door in the Floor, The ",USA,"Comedy, Drama",English,2,TRUE,R,06/08/2004,111 min,14/12/2004,"14,682",,,,,6.7/10,67%,67/100,0,2,7,Low
De-Lovely ,"UK, USA","Biography, Drama, Music, Musical","English, French, Italian",1,FALSE,PG-13,06/08/2004,125 min,21/12/2004,"10,364",10,146,46510,4,6.6/10,48%,53/100,1,2,11,High
Collateral ,USA,"Crime, Drama, Thriller","English, Spanish, French, Korean",1,FALSE,R,06/08/2004,120 min,14/12/2004,"3,35,589",1,12,28745,4,7.5/10,86%,71/100,1,23,68,High
AVP: Alien vs. Predator ,"USA, UK, Czech Republic, Canada, Germany","Action, Adventure, Horror, Sci-Fi, Thriller","English, Italian",8,TRUE,PG-13,13/08/2004,101 min,25/01/2005,"1,73,631",237,1696,751997,84,5.6/10,21%,29/100,0,2,4,High
Exorcist: The Beginning ,USA,"Horror, Mystery, Thriller",English,4,TRUE,R,20/08/2004,114 min,25/10/2005,"31,609",,,,,5.1/10,10%,30/100,0,0,6,High
Nicotina ,"Mexico, Argentina, Spain","Action, Comedy, Crime, Drama",Spanish,1,FALSE,R,20/08/2004,90 min,31/12/2007,"3,259",23,47,64150,2,6.7/10,45%,49/100,0,12,12,Low
Benji: Off the Leash! ,USA,"Drama, Family",English,1,FALSE,PG,20/08/2004,97 min,28/12/2004,489,3,57,22955,4,4.7/10,33%,49/100,0,1,0,Low
Without a Paddle ,"USA, New Zealand","Adventure, Comedy, Mystery",English,5,TRUE,PG-13,20/08/2004,95 min,11/01/2005,"41,494",84,714,652916,53,5.9/10,14%,29/100,0,0,0,High
Anacondas: The Hunt for the Blood Orchid ,USA,"Action, Adventure, Horror, Thriller","English, Indonesian",10,TRUE,PG-13,27/08/2004,97 min,21/12/2004,"26,025",10,,384729,,4.6/10,25%,40/100,0,0,2,High
Suspect Zero ,"UK, Germany, USA","Crime, Horror, Mystery, Thriller",English,3,TRUE,R,27/08/2004,99 min,12/04/2005,"18,119",0,,69604,,5.9/10,18%,37/100,0,0,0,High
Napoleon Dynamite ,USA,Comedy,English,2,FALSE,PG,27/08/2004,96 min,21/12/2004,"1,83,670",48,378,162246,18,6.9/10,71%,64/100,0,10,22,High
5x2 ,France,"Drama, Romance","French, English, Italian",2,FALSE,R,01/09/2004,90 min,25/10/2005,"8,093",0,34,125884,19,6.7/10,65%,62/100,0,1,2,Low
Vanity Fair ,"USA, UK, India",Drama,"English, French, German",4,TRUE,PG-13,01/09/2004,141 min,01/02/2005,"19,414",49,311,331859,27,6.2/10,51%,53/100,0,2,5,High
Summer Storm ,Germany,"Comedy, Drama, Romance, Sport",German,2,TRUE,R,02/09/2004,98 min,05/09/2006,"12,589",258,1914,4842738,401,7.4/10,47%,51/100,0,4,4,Low
Intimate Strangers ,France,"Drama, Romance, Thriller",French,3,FALSE,R,03/09/2004,104 min,28/12/2004,"4,430",0,12,8204,1,7.1/10,86%,71/100,0,0,3,Low
Cellular ,"USA, Germany","Action, Crime, Thriller",English,2,TRUE,PG-13,10/09/2004,94 min,18/01/2005,"87,591",29,216,263462,11,6.5/10,55%,60/100,0,0,2,High
Sky Captain and the World of Tomorrow ,"USA, UK, Italy","Action, Adventure, Mystery, Sci-Fi, Thriller","English, Tibetan, German",1,FALSE,PG,17/09/2004,106 min,25/01/2005,"78,795",,,,,6.1/10,71%,64/100,0,8,19,High
Tae Guk Gi: The Brotherhood of War ,South Korea,"Action, Drama, War",Korean,4,FALSE,R,24/09/2004,140 min,15/02/2005,"35,697",268,614,351123,18,8.1/10,80%,64/100,0,12,7,Low
Shaun of the Dead ,"UK, France","Comedy, Horror",English,2,FALSE,R,24/09/2004,99 min,21/12/2004,"4,69,921",150,896,494929,32,7.9/10,92%,76/100,0,13,20,High
First Daughter ,USA,"Comedy, Drama, Romance","English, French",4,TRUE,PG,24/09/2004,106 min,25/01/2005,"19,801",,,408751,,5.0/10,8%,31/100,0,0,0,High
Silver City ,USA,"Comedy, Drama, Mystery, Thriller","English, Spanish",1,FALSE,R,24/09/2004,128 min,11/01/2005,"3,678",1,4,4329,0,6.1/10,48%,47/100,0,1,1,Low
"Forgotten, The ",USA,"Drama, Horror, Mystery, Sci-Fi, Thriller",English,1,FALSE,PG-13,24/09/2004,91 min,18/01/2005,"61,819",14,,92921,,5.8/10,32%,43/100,0,0,7,High
Eulogy ,"USA, UK, Germany","Comedy, Drama",English,1,FALSE,R,26/09/2004,91 min,08/02/2005,"8,200",46,182,134378,11,6.6/10,32%,34/100,0,0,0,Low
